company,answer,summary,luck,work,people
OtterBox,"A lot had to be with being in the right place the right time. So there's definitely some luck there. I think there's also Did it did take some skill it took some skill, but it took a lot of failure and it took a lot of learning from that failure. We call it failing forward. It wasn't just me that built. You know, it says, how did you build? I don't want to say I built it. I want to say we built it and so is it luck? Yeah some of it. Thank you, Steve Jobs. No, really. I mean man, the guy hit it out of the park. I just followed the ball over the wall, you know. You know, so a lot of it is luck, but it is is learning from those mistakes. It's the e-myth. That's the the strata process. It's all those systems and it's all those people they came into a culture that have come together to create something special.","Success is attributed to a combination of luck, hard work, learning from failure, following successful examples, and leveraging the support of others.",6,4,5
Teach For America,Question/Answer not found,Question/Answer not found,0,0,0
Goodreads,"The one thing that I always was really humbled by with Goodreads is it feels like we got so much of the glory, I guess, because we were the founders, but the people that we worked with, they were all really, really incredible people that worked just as hard as we did and, and are really a big part of the success story too, of Goodreads. So I don't know if it's just luck hard work. It's also, you know, the people. I was once at a tech gathering and this exact question came up and I think the consensus in the room was we were about 50% lucky and 50% because we worked hard and were smart or earned it because I think luck matters. And we did work super hard and we did get lucky in that. I worked at TIBCO and was connected to an amazing set of advisors that all helped me in different ways. And I attribute a lot of our success to having those people to go ask what do I do? But if Kindle hadn't launched in 2007 and moved, you know, started the digital reading revolution, I don't think Goodreads would have flourished. Industry trends have to align. And if that hadn't happened, you know, my old CEO would have been right. It would have been a small site. I wouldn't have grown like it did.","Success is attributed to a combination of luck, hard work, and the people involved. The guest acknowledges the importance of luck, hard work, and having a supportive network of people.",5,5,5
Intuitive Machines,Question/Answer not found,Answer not found,0,0,0
Ben & Jerry's,"there is a very big part of Good Fortune involved. I think there's a lot of people who work really hard who have really good ideas who are really committed and they don't have the same level of success. Yeah, I mean, I guess originally we were going to open our ice cream shop in Saratoga Springs, New York. Yeah, and you know some other ice cream shop opened up before us and we didn't want to compete so that's what brought us to Vermont. I think if we had started in New York, we never would have gained the local following that we gained in Vermont. It would we could be a bigger fish in a small pond.","Success is attributed to a combination of luck, hard work, and strategic decision-making.",6,4,7
Priority Bicycles,"I think it, it's all hard work. We have been in the right place at the right time, but we wouldn't have been in the right place at the right time if we didn't work. Our butts off. And You know what I learned in doing business systems, and I think I probably was involved in implementing close to a hundred. What I learned is that some of the most successful businesses were just the ones that worked really hard. Hmm. We work really hard at everything we do. And so we have got lucky sometimes, but, but I think that's because we are prepared for the situation and always being prepared for the situation. That means that when those opportunities come and when luck hits us, that we're able to capitalize on it.",Success is primarily attributed to hard work with some acknowledgment of luck playing a role in providing opportunities that were capitalized on due to preparation.,3,9,0
Cisco Systems & Urban Decay,"You know, I've always said that it's a third being smarter, third working harder. Third luck. No, I take that back. It's a half being smarter, half working harder and a half pure luck because that adds up to more than one. And there were times that Cisco could have just been an asterisk and a footnote. I mean, there were so many times that company could have gone under and we were saved by circumstances out of our control. So there was huge luck in there. I still work harder than anybody. I know. That's my great gift. And I love work. I'm I'm, I'm besotted with work, you know, I've already, I've already designed my epitaph.","Success is attributed to being smarter, working harder, and luck playing a significant role. The individual acknowledges the importance of luck in their success, highlighting how circumstances out of their control saved their company multiple times.",5,5,0
Prenuvo,Question/Answer not found.,Question/Answer not found.,0,0,0
Canva,"I think it's a really interesting question because I think that if you zoom out of luck and you say, where were you born? Who your parents, who, what was the education that you got? You know, having good health here. There's so many layers of luck. So if you look at all of those things, I couldn't be luckier. But then on the other side of it, I feel like we've planted enough seeds that eventually one of those grows. And so that's kind of another version of Lucky's like we planted maybe a thousand seeds and one of those seeds grew. And so you could kind of attribute that data luck or hard work for planning a thousand seeds. So I'd say a little column, a little column bay.","Success is attributed to a combination of luck and hard work, with luck playing a significant role in terms of upbringing and opportunities, while hard work is likened to planting seeds and waiting for them to grow.",7,3,0
Everlane,"It's hard to know. I, you know, I, somebody once said, your goal is to do as many things as possible to get yourself in a place of luck happening to you. And so when you asked that question, it was so weird that we launched ties and bow ties, but at the same time it was this unfettered attitude of just go try things so that luck could happen to us. So I think part of it is being quick and thoughtful and moving and understanding the world around you to put yourself in the pathway of luck as often as possible.","Success is attributed to being quick, thoughtful, and proactive in trying new things to increase the chances of luck happening.",5,5,0
Light,Question/Answer not found.,Question/Answer not found.,0,0,0
Policygenius,"That is always the tough question. I think the balance is always more toward luck, to be honest with you, because I've seen a lot of people who just work. So, so, so hard and you know, it's wrong idea or right idea, wrong time, or you make a couple bad decisions early on a few things. Don't break your way. So I, for me, it's all around luck and timing. Hard work is hard. Work is table stakes, right? And often, like if you get really, really lucky, you probably don't need to be as diligent and hardworking, but it's, it's, it's catching breaks and being in the right place, right time. Right? Idea,","Success is primarily attributed to luck and timing, with hard work being a necessary but not sufficient factor.",8,2,0
Title Nine,"Yeah. Right. It's percentages. It's not binary. It's not all luck or all hard work it's it's percentages. And I think, you know, if you want to talk about the luckiest things that probably had sort of the absolutely necessary parts of it, I had to be a young woman growing up in the seventies and eighties, not in the forties and fifties that's luck. I probably had to grow up in a family that was encouraging me to be an entrepreneur, even though that might not be something young women in the south did at the time that's luck. I had to grow up and not be battling abject poverty. Yeah. That's luck. So when you look at all of those very lucky things, and then you add on to it, all of the things, the happenstance meetings and the people that offered me a hand up, I mean, I'd say it's 90% luck. But then what I would say is the part that I can control is the 10% that's work. And so it may only be 10%, but I'm going to work as hard as I can to control that 10%.","The success is attributed to a combination of luck and hard work, with luck playing a significant role in the opportunities presented, while hard work contributes to the control aspect of success.",9,1,0
Supergoop!,"I think it's a little bit of both, guy. You know, if I think back, was it skill that positioned me next to Roxanne Quimby in Vegas? No, but it was very strategic in that I was telling my story to everybody that would listen. And the same is true with my launch at Sephora because, gosh, I was lucky the skincare buyer that year happened to be pregnant and shopping in Giggle, but you know, I put my number on the carton, and so anybody could reach me, and that was strategic.",Success is attributed to a combination of luck and strategic actions such as storytelling and networking.,4,6,0
Circ,Question/Answer not found,Question/Answer not found,0,0,0
Khan Academy,"It's all all of the above. I mean, it's you know one person can call it luck. One person might call it benevolent aliens working in your favor to prepare Humanity for First Contact. But yeah, there's something you know that I Kent there's a lot that I can't take credit for I mean and above and beyond look there's Cirque. I guess it's luck where I was born where I was born. I had the teachers I had had the Friendship supports that I had and then you know fell into things at the right time and but every now and then you see a door crack open you say I think there's something interesting on the other side of the door and you've got a Sprint through it and and so I try not to overthink when when there are signs in my life that like that doors open don't Don't don't make someone have to force you through the door like run through that door.","The success is attributed to a combination of luck, hard work, and the support of people around.",5,5,5
Dippin' Dots,"I think luck always has a little bit to do with something but I think it came and not just me. I mean believe me I had you know, a lot of family members and a lot of other people, you know, they were close to the company in the early days at work really really hard. But no, I think luck always plays a little bit of a role but I think most of it is just from perseverance that we all had in the belief that we had in it because it's funny, you know Dippin Dots is just one of those things that when you get around it and you're working with it, it kind of takes on a life of its own. It's kind of like a magical thing and we don't really know what made it that way. If you told me to go invent a product that all kids would like or majority of kids will like I wouldn't know where to start it just one of those things that happened. Yeah and as much as we talked about how much we don't like the way the American legal system is I really believe in America because you know, you have opportunities to do anything you can dream of and I think I'm a perfect example of that.","The success is attributed to perseverance, belief, and the magical nature of the product, with a hint of luck and the opportunities provided by the American system.",3,7,4
Dropbox,Question/Answer not found,Question/Answer not found,0,0,0
Freshpet,"You know, it's interesting. I, when I, going all the way back to early on in athletics, I had one, a great coach. His name was Jeff Ward, another one was Charles Foster. And they both said to me, you know, if you take a step back and you look at the people that have, have created, been great athletes, they said, there's two parts to it. One of them is they believe they can do it, and the other one is they have the skills to pull it off. And I think the third one is being at the right place at the right time, or some level of luck or fortune or whatever you, you, you think it is. So everyone's gonna have luck passed by them. And it's a question of what you do with it and how you think about it and how you, how you take advantage of that luck.","Success is a combination of self-belief, skills, and making the most of opportunities presented by luck.",3,7,0
Manduka,"I would say the title of my book is Gravity and Grace. And you know, everyone has a relationship to this word grace, whether it's a spiritual or a religious meaning, or just, you know, appreciating nature, you know, where we feel this non-physical connection to things or energies, et cetera.","The guest did not directly answer the question about luck and hard work, instead focusing on the concept of grace and its various interpretations.",2,3,0
Spin Master_PAW Patrol,"I think we're lucky that we found each other. I think we're lucky the people that decided to join our company, the people that we've been able to attract and partner with and people that wanted to take the journey with us, whether it was Bakugan or pop patrol and these partnerships, I think that's where the luck came in. And then, you know, we put in the time, you know, I have a saying, you know, you don't go, you don't get. And we went out a lot, you know, Anton, like, you know, he opened up all the offices in Europe. He, you know, he did all the sales with all the retailers, manners, all those relationships. Ben was constantly going out and meeting with the inventors, going to their offices, doing inventor trips. We did all that stuff. And the last thing I'd say is that we never blamed anybody for failure because it's too complex in our business. There's too many stakeholders when you're doing creative things that you can blame one single person. So for sure, listen to the universe works in strange ways. And a lot of is, is out of our control, but we need to show up too at the same time. So it's a combination of","Success is attributed to a combination of luck, hard work, and the people they were able to attract and partner with.",4,6,6
Moderna and Flagship Pioneering,"How hard I work is a function of probably the orientation that I had. That as an immigrant, you don't really take much for granted. You don't think much is owed to you and everything is a possibility and you have to go get it. In my case, the motivator has been truly trying to figure out if we could innovate a new way to innovate so hard work. Yes. In terms of luck, you know, it's ironic that you're, that you asked me that because somebody has written to me something the other day that I wanted to respond to, but I didn't, by saying better lucky and good in the sense that I think that to some extent, counting on luck is not a strategy, but it is the case that no matter how hard you work, there's no guarantee that the opportunity will come up or that you will fail to fail long enough to succeed. These are all things that otherwise can only be explained by chance, but I don't know what to do with that because I can't count on it. I can't summon it if I could submit it anytime, that would be fun, but I can't. And so therefore it doesn't the role doesn't play any role in my actions when it comes, it comes","The guest attributes their success to hard work, driven by their immigrant background and mindset of not taking things for granted. They believe in innovating new ways to succeed through hard work. They acknowledge the role of luck in opportunities arising, but do not rely on it as a strategy.",4,8,0
Florentine Films,Question/Answer not found,Question/Answer not found,0,0,0
Brimstone,Question/Answer not found,No answer provided,0,0,0
Hinge,"I feel pretty lucky. IVA, if you go through my story and, and going through it today has really reminded me of that. There are so many serendipitous twists and turns that had they not happened. It's hard to imagine I would be here. I would be somewhere. Maybe, you know, there are a lot of really lucky things that happened to me. There are a lot of like really tough things that happened along the way. I mean, having the company fail multiple times, like drug addiction, alcoholism, like there's all these like really tough things. And when I look back, I think the hardest things is losing the girl drug and alcohol addiction, the company failing, you know, ended up being my biggest blessings. If those things hadn't happened, I certainly wouldn't be here today either. And if there is skill involved, I think it's how we roll with the bad things that happen, you know, do we resist it and fight it and judge it and get resentful about it? Or do we lean into learn from","The guest attributes a significant portion of their success to luck, acknowledging serendipitous twists and turns in their journey. They also highlight the importance of overcoming tough challenges and viewing them as blessings. They mention that skill comes into play in how they handle adversity.",8,2,0
Vita Coco,"I think in order to be successful, you need some luck, right? I look at my life. And I look at everything that I've been able to accomplish not only through work but also personally and family and everything else. I've been incredibly fortunate and incredibly lucky, but I also think that hard work and positivity brings what could be brings good fortune.","Success is attributed to a combination of luck, hard work, and positivity.",5,5,0
Chicken Salad Chick,"mmm. I don't know. It's been too hard for me to say it was luck. We worked really hard. It's that would that's hard to accept luck. It's not I don't think it's luck. I think we have paid our dues. I think we were good Learners. I think we also knew that we weren't it. Like I know what I'm good at and I know what I'm not so great at and every part of the business. Deserves to have an expert in their field for it to all work a hundred percent on all cylinders. So Kevin and I are very early had to understand what we were great at and what we were not great at huh, you know, you don't have to be a rocket scientist. You don't have to have millions of dollars. You just have to have Drive in the will to get up and go and when life knocks you down you just keep getting up.","Success is attributed to hard work, learning, understanding strengths and weaknesses, and having the drive to keep going despite challenges.",2,8,0
Cotopaxi,"Well, it's certainly a little bit of both. I mean, I can't say that that hard work and skill don't matter. Of course, of course they do but the reality is that I think most of the success that I've had is been because of luck. I was lucky enough to be born where I was born. At a time that I was that I was born in I haven't have certain skills that those skill sets may not have been worth much a thousand years ago. I don't know if I would have been a great hunter or a great farmer. So it's really luck that is allowed me to be in the position that I'm in. I feel lucky every single day to live the life that I have and I and with that comes a deep sense of responsibility and a duty to find ways to help others that that maybe weren't as fortunate.","The guest believes that most of their success is due to luck, acknowledging the importance of hard work and skill but attributing their position primarily to luck. They feel fortunate for the life they have and express a sense of responsibility to help others.",8,2,0
Panera Bread_Au Bon Pain,Question/Answer not found,Question/Answer not found,0,0,0
Spindrift,"I think it's a combination. So, you know, I thought a lot about that question and we talked about it even just internally a lot. We are all incredible workers in our commitment level of the company is insane and has had to be for a long time and what that allowed us to do is see opportunities when they surface, you know, when the world was moving out of sweetened Beverages and sugar we were positioned well to be able to see that and take advantage of those changes. So is that good luck, is that you know, why did we reposition that way it's not clear to me, but I think we needed a good dose of both of those to get to where we are today.",Success is attributed to a combination of luck and hard work. The company's commitment level and ability to see opportunities played a significant role in their success.,5,5,0
Discovery Channel and Curiosity Stream,"Well, I think a lot of people have read Malcolm Gladwell's book where he talks about the 10,000 hours. And I really believe that I look at anybody I've ever talked to, whether it's Ted Turner, Elon Musk, or anybody they've put in so much labor and effort. And it really is 10,000 hours or more, if you just count it up. And one time when his book came out, I said, yeah, I did that and more, but you've got to count on, you know, 10% luck things just lining up. You know, we talked about one of them today, you know, at the darkest hour, just the luck of just calling the right person and that right person responding favorably. And I'm talking to John Malone, you know, without John Malone, without four cable operators stepping up when they did, I don't know if there would be a discovery channel today, I would have worked hard, you know, to find other routes. I think I might've found them. Might've been more difficult, but again, I think it was just the good fortune of knowing the right people at the right time.","Success is attributed to a combination of hard work, skill, and luck. The guest emphasizes the importance of putting in 10,000 hours of labor and effort, similar to successful individuals like Ted Turner and Elon Musk. However, they also acknowledge the role of luck, estimating it at around 10% for things falling into place at the right time, such as connecting with the right people like John Malone and cable operators.",3,7,5
BETA Technologies,Question/Answer not found,Answer not found,0,0,0
Outdoor Voices,"I think it's persistence. So I think this deep-rooted knowledge that, you know, you're never going to give up and you're going to find a way and there's no other option is something that just has connected all these dots for me. People have to believe that you're going to do it and you're not going to stop at anything getting in the way. And so this crazy amount of persistence is really what's gotten me to kind of where I'm at.",Persistence and unwavering belief in oneself are the key factors that have led to success.,2,8,0
Yasso,Question/Answer not found,Question/Answer not found,0,0,0
Noom,"I think we are extremely lucky for sure. I think we are extremely lucky and I cannot express how much we are thankful like Andrew investors, our people, why we were managing like no revenue business, the brilliant smart people stayed with us. And remember the night that survivors did night was like, I don't know how I can describe how much we, how I'm thankful. And we are thankful and how much luck we receive. And as we receive the luck in the past, we expect if we continue to stick with our mission and do good job, I believe that we shall receive more luck as we deserve in the future. But, you know, we don't run the business based on the luck. We, we work hard and when the luck arrived and we'll be grateful","The success is attributed to a combination of luck, hard work, and the people around them.",5,5,5
Wirecutter,"I mean obviously all of the above, but it's really just mostly hard work and skill and then I guess I believe luck is like being able to be in those situations for long enough for things to work out.","Success is mostly attributed to hard work and skill, with luck playing a role in being able to capitalize on opportunities over time.",2,8,0
Tate's Bake Shop,"No, it's not luck. I think it was more. I worked really hard putting it together. I never gave up. I never let its success get the best of me if anything and not luck. I think sometimes it. My destiny,",The guest attributes their success more to hard work and determination rather than luck or external factors.,2,8,0
Chilewich,I don't think luck had anything to do with it. I don't I think it has to do with Endurance it's constantly testing yourself being open-minded. Hugely listening to negative feedback. You've got to be able to listen. You have to listen and you have to make sure when people say they like something that they really really like it. You got to constantly test the value of your product and I think I did that. I think I did that very intuitively.,"Success is attributed to hard work, testing oneself, being open-minded, listening to feedback, and constantly evaluating the product's value.",0,8,2
The Ringer,"I think there's a third factor that's the most important. I always try to challenge myself really. Starting in 2006, when 2006 started, I was like, I don't wanna leave 2006 in the exact same position I was in in 2005. And I think I've stuck to that really for 16 years now, where every single year I wanted to look back at the end of the year and be like, oh, this is the year this happened. Yeah. Like especially with content and creativity, like if you're just running it back every year, that's not sustainable and eventually people are gonna pass you and you're gonna be on the outside looking in. So I think once I realized that, that helped me the most, I think some of it was hard work and talent and then the luck piece. Like I think to just be like, oh you were lucky. Like what does that mean? Like I worked my ass off for every single thing that happened. I don't, I don't understand how luck factors into that for the most part. Like I think when people talk about luck it almost feels like it's kind of like a loser attitude where it's like, oh that was lucky. It's like I don't feel like there's a lot of luck with this stuff. Opportunity can be luck, but you still have to like nail the opportunity and you still have to put real thought into it and you still have to give a shit. And the thing I've learned over everything is the people that give a shit are the ones that succeed.","Success is mostly attributed to challenging oneself every year, hard work, talent, and the importance of caring about what one does. Luck is seen as a small factor that comes with seizing opportunities and putting effort into them.",2,8,5
Tripadvisor,"Oh, it's a, it's a great question. So like 50 50 maybe. Absolutely a ton of luck in there. But we had to make some good choices and work our tails off because very few businesses have a straight line to success. Yeah. But after 22 years, I wanna do it again. I want not in travel, not in software tools, but I figure I have one more startup left in me and as I turn 15, as I had turned 59 years old, I look around and say, okay, better get moving. And so I am just open for another adventure that can have something akin to the type of impact that Trip advisors had. If I could get that lucky. Yeah.","Success is attributed to a balance of luck and hard work, with a slight emphasis on luck. The individual acknowledges the role of making good choices and working hard, but also recognizes the element of luck in achieving success.",5,5,0
Spikeball,"I think I'd probably put serendipity at number one. You know, had the Kennedy's never purchased that set years ago, I never would've seen it.",Serendipity played a significant role in the success.,8,2,0
Osprey Packs,"Oh boy, that's a tough question. I, my, my feeling about luck is that luck happens when you're prepared to recognize it. You know, sometimes opportunities fly by you and if you aren't aware that they're present at that moment, you don't catch them. I've certainly worked hard, but I've enjoyed it. So to me it hasn't been work. It's been, it's just been a life. It's been a wonderful life.","Success is attributed to being prepared to recognize luck, enjoying hard work as a part of life, and living a wonderful life.",4,6,0
Solo Stove,"For me, I think luck is definitely a huge part of our outcome. And the paradox is, as I think about luck, right? It's something you can't control. You have to realize that it's a part while at the same time working as if it doesn't matter. I think it helps you not pat yourself on the back too hard when things go right while at the same time not getting too hard on yourself when things don't go right. Some things are just out of your control and luck is definitely one of them. I think the older I get, I'm not sure if I believe in luck as much, but I definitely believe that there's something out of your control, some sort of divine help. All of the important things that have happened in my life, including starting this business with Spencer and meeting my wife and having kids and all of those other important things I don't really consider as luck, but as things that I was blessed with. I certainly think Spencer and I both worked very hard at it, but I think we both acknowledged that there's something that was beyond our control that definitely helped with this.","The guest believes that luck plays a significant role in their success, acknowledging that some things are beyond their control. They also emphasize the importance of hard work and divine help in achieving their goals.",7,8,5
Shake Shack,I would say 80% luck and 20% work ethic,The guest believes that 80% of their success is attributed to luck and 20% to work ethic.,8,2,0
The Lip Bar (TLB),"And, and of course I know this question is coming, but it it's a really tough question. I think, I think earlier on it was all hard work and I think that hard work is still, you know, I'm still receiving the fruits of that labor and nowadays I'm thinking it's luck. So I don't think any anyone can fully take credit. I think that sometimes the universe is just in alignment and right now I really feel good.","The guest believes that earlier success was due to hard work, while current success is attributed to luck. They also mention the alignment of the universe playing a role in their success.",7,3,0
ARRAY,"I guess I, I attribute it to luck, but I don't call it luck. You know, I think it's, it's my path and it was, these are blessings. These are, this is designed and it's up to me to work, to live up to these moments that are put in front of me, but certainly in the way that you're defining it, I would say luck. Yeah, work really hard, but you could work really hard and never get the breaks. You know, work really hard and never be seen, be heard. You can work really hard and you know, no one reads your scripts on a plane and calls you the next day and says, look, let me be in it. Who ends up being the same guy who gets you Selma, get that gets nominated for the Oscar that does today. You could be, you could make 13th. And you know, it sits on the back channels of Netflix and doesn't really get seen or move, but it moved. You can, you can make, when they see us, you know, and not change the lives of the five, five-minute, it doesn't completely revolutionized who they are as human beings. They live differently than they did when it first came out because no one saw it and it didn't make a difference, but that did. And so, you know, there's only so far that the work can get you. And that's far like, I believe I would have gotten far from just sheer hard labor, but there has been a furthering beyond that that has been blessings that have come into my life that are beyond my control. And some people call that luck. I'll take it.","The guest attributes their success to a combination of luck, hard work, and blessings. They emphasize that hard work alone may not always lead to success and acknowledge the role of external factors beyond their control.",5,8,2
Leatherman Tool Group,"I think that it's around 10% luck and about 90% hard work I've persevered. I've worked hard. I've had great people working with me. Obviously, I'm privileged to be born into a life of privilege in the United States and growing up in a middle-class household. I've been so many places in the world where life is not nearly as good as I've had it. There've been things in life, where I've beaten the odds, the fact that a Leatherman tool became a successful product is astounding. I've read that only about 5% or less of products that are patented get on the market. So, I feel like I've been a lucky person. I've never bought a lottery ticket because I feel like I've already beaten the odds. It's not going to happen again.",The guest attributes about 10% of their success to luck and 90% to hard work and skill. They also acknowledge the importance of having great people around them and being privileged.,1,9,5
Orgain,"Well, if I was to sit here and tell you that everything that I've become and everything that Orgain has become was, was just all a result of hard work, I'd, I'd be lying to you, right? I mean, I launched Orgain at the height of the recession. I had no idea what I was doing. I had no idea what I was getting into really. And I had no idea how difficult the hardships would, would truly be. So, you know, don't get me wrong, I can tell you with confidence that I, I couldn't have worked harder. I made sacrifices that I never imagined making even I would say to my detriment at times. But there was certainly just like, you know, you think about that one basketball player that, that runs the hardest down the court and, and jumps the highest and finds this perfectly placed lob in his hands every once in a while. And all he has to do is throw it in the net. And every time I found myself with an opportunity, you know, I seized it with every part of me, but with a lot of purpose and a lot of gratefulness. So I would say definitely both hard work and a few of those lucky LOBs along the way.",The guest attributes a significant portion of their success to both hard work and a few lucky opportunities that came their way.,4,8,0
Mielle Organics,Question/Answer not found,Question/Answer not found,0,0,0
Walker & Company,Question/Answer not found.,No answer provided.,0,0,0
Wildtype (2022),Question/Answer not found,Question/Answer not found,0,0,0
Simple Mills,"You have to have both. I don't think we'd be anywhere near where we are without luck. I mean, we've talked about a number of the things that I did wrong, but you also have to work crazy hard. So I think it takes both,","Success is attributed to both luck and hard work, as acknowledged by the guest.",5,5,0
Planet,"Gosh, I mean, it's not a simple question to answer, but it was definitely right place, right time. I mentioned how, when we left NASA to start Planet, it was a very much the stars aligned moment. It was just like what we have to do this. But I would say persistence is the biggest thing that comes through is it's not quite either what you said. It was his persistence and endurance. You have to keep going. Yeah, there, there is a drive and a motivation in the art of creation. You've got to love it, right? You have to be okay not knowing and being on that edge and, and right into that edge of being like comfortable and overstretched. I always find that that's where the most creative things come from. And as well said, like you get a lot of things wrong, you know, and, and you, as long as you learn from it, you have a safe space to allow for people to actually learn from it. Then that collective knowledge is actually internalized by the team. And then you, you take the next step again.","Success is attributed to a combination of luck, persistence, endurance, love for creation, learning from mistakes, and collective knowledge internalization.",4,6,5
Halo Top Ice Cream,"It's alright. But I founded the company in 2011 and it took until 2015, 2016 to see signs of life. And so, I mean, it's hard to attribute anything of that to luck that was pure grind. Probably a level of psychosis of not giving up and still believing in the stuff. And then I knew it could be successful. But the fact that it was that successful, that it was like a phenomenon like that, there was a lot of luck involved in that, you know what I mean? I was fully confident that it could be a pretty good ice cream that could, you know, get into the top 10 or something like that and, and provide a good living, but becoming a phenomenon.","The guest attributes a significant portion of their success to hard work and perseverance, stating that it took several years of dedication to see signs of progress. They acknowledge that luck played a role in the extraordinary success of their company becoming a phenomenon.",4,8,0
Spanx,Question/Answer not found,Guest's answer to the question was not found.,0,0,0
Coinbase,"It's probably 50 50. Look, I, I actually, so I think every CEO who I've met, they have some minimum level of intelligence, right. But they're oftentimes not the smartest person in the room. And I, I would put myself in that category too. Like, I'm, you know, I met some minimum bar, but I'm not the smartest person. What I am is probably quite determined. There is a part of my personality. This might be a little bit like that being on the spectrum thing or whatever, but it's just like, whether it's like a really good day or a really bad day, I'm sort of even keeled. And I'm often just like, okay, well what's the next step? How do we fix it? And let's keep making progress even over like a decade or more. I can be quite resilient in that regard. But I guess the other thing I would say just about luck, absolutely luck played a big role in Coinbase. I mean, there were certain moments early on in our history where if a coin had flipped the other way we might not be here. I think we got very lucky with sort of the timing of when the company decided to launch and when crypto decided to grow, I think that I kind of just kept trying things until eventually one of them hit. Right. Which is, it's a way of unifying those two ideas. It's, it's definitely a lot of luck when it works. But if you just keep trying, you can kind of make your own luck.","The guest believes that their success is attributed to a balance of luck and hard work. They acknowledge that luck played a significant role in their company's success, especially during critical moments. However, they also emphasize the importance of resilience, determination, and continuously trying new things to eventually achieve success.",5,5,0
Calendly,"Oh, that's a great question. So I think everybody's lucky, right? I think the very fact that I didn't get hit by a bus today that's luck. Right and we're in the same thing for you the fact that didn't happen to you that's luck. And you know, I look at the family I was born into I think your family really determines your ceiling in life and your floor as well. Like how high both how high or low but those names are and I had no say in the family that I was born into so I feel incredibly lucky there. I picked the right industry, you know, when that's growing like crazy. So all those things are definitely luck. But I think so. I think we are lucky but I think what amplifies that luck and what makes one successful is hard work. It's skill. It's resilience. It's an appetite for risk-taking. So that's my view. I think it's a combination of both but I think when you add those four things it just takes luck to a whole different level.","Success is a combination of luck and hard work, with luck playing a significant role in opportunities such as family background and industry choice, but hard work, skill, resilience, and risk-taking being crucial in amplifying that luck.",7,9,4
Wikipedia,"A huge amount due to luck. Brilliance and hard work? Okay, maybe not so much. Do you think a component of the success of Wikipedia is that I'm a very friendly and nice person and I'm very laid-back. And so therefore I was able to work in a community environment where people basically yell at you and you just have to kind of roll with it and you're in some sense a leader, but you can't tell anyone what to do their volunteers. So you have to work with love and reason to kind of move people along in a useful way. So I do think that I'm not irrelevant to the process. But I also think that you know, the community is amazing and the luck of the timing of really hitting that moment when it was possible to build.","Success attributed to a significant amount of luck, combined with the ability to work well within a community environment and the support of an amazing community.",8,4,8
Neurable,Question/Answer not found.,Question/Answer not found.,0,0,0
Sun Bum,"I think it's a combo, obviously probably everybody says that. I think there were so many lucky breaks, right? Vivian Dryer back at Meyer, you know, giving me those, that order for 1800 t-shirts, like all the people that I met, all the stores that said yes, all the buyers. It's really the lucky breaks of people taking a chance on me and believing in wanting to take the ride with me. But I also, it's also a ton of work. It's also doing it more, you know, like Kobe said, you just practice, you gotta practice more. So practicing more than anybody else makes you better than anybody at it. And I've practiced a lot because I love it because it's kind of my art, it's kind of my paintings, you know, these brands are kind of my painting.","The guest believes that their success is a combination of luck, hard work, and the support of people around them. They attribute lucky breaks to opportunities like getting a large order and meeting supportive individuals. Additionally, they emphasize the importance of hard work and continuous practice in honing their skills.",5,5,5
Mitchell Gold + Bob Williams Home Furnishings,"Well, I've often said if I was going to write a book about our company, I'd call it pluck luck and perseverance. We've had situations. We've had a confluence of incredibly good things happening. We had the luck of finding a facility that already existed. We didn't have to start from scratch. We didn't have to hire somebody to put a factory together. And we've had some bad things. You know, we had nine 11, we had 2008. We had a pandemic, but there's a lot of hard work and there's skill. I mean, Bob had this innate design talent years ago, we were interviewed for CBS Sunday morning show. And I love when Rita braver said to him, you were a graphic designer.","The success of the company is attributed to a combination of luck, hard work, and skill. They were fortunate to find a facility that already existed, saving them time and resources. Despite facing challenges like 9/11, the 2008 financial crisis, and the pandemic, they persevered through hard work and skill, with key individuals possessing innate design talent.",5,5,0
Strava,"There's a huge percentage of my life as associated with sort of luck and circumstance because I keep pushing because I keep grinding. So I think that there is an element of creating luck. And my thought is that I was just reading a book recently. I think it's called how champions win or something to that effect. And it just talks about optimism, being a learned trait rather than something you're born with. And that is what I think I, I do have in me is optimism. And with that then yeah, the luck comes and goes. If I look back in my life, I've had plenty of bad luck. I've had bicycle accidents and ski accidents and I've had heart problems and I've had a divorce. I can go back and look at bad luck and good luck. But if you bring optimism to things, it's amazing how the luck keep servicing in a good way.","The guest believes that a significant portion of their success is due to luck and circumstance, but they also attribute their hard work and optimism as contributing factors to creating luck. They acknowledge both bad luck and good luck in their life experiences, but emphasize the importance of bringing optimism to situations.",5,7,0
AMP Robotics,Question/Answer not found,Answer not found,0,0,0
